,t1-t2-LSUB,t1-t2-LCA,t1-t2-LDG
810843,2.0694356,2.062357,1.7474539
812746,2.047583,2.1596785,1.6778736
814649,2.5422854,2.6754966,2.0747461
816653,1.8239465,1.9190688,1.5654414
818859,2.019722,2.0591774,1.746793
820745,1.9001002,1.8907175,1.5946213
825048,2.0857513,2.0978162,1.7218137
826353,1.8982213,2.0290623,1.6725239
826454,2.1717196,1.9674292,1.5822048
833148,1.9600198,1.8825396,1.6048312
833249,1.948497,1.9153895,1.6904013
835657,1.7821217,1.8486603,1.642527
837560,2.3162715,1.8730394,1.6430742
841349,1.6904777,1.9421309,1.6094472
844961,1.8436546,1.8668591,1.6309369
845458,1.9692385,1.9936402,1.6120856
849264,1.8749994,1.8210008,1.6054522
849971,1.96028,2.0448556,1.7730296
852455,2.1041055,1.9829719,1.6584703
856766,1.9969012,2.030226,1.7649251
856968,2.0896292,1.9708339,1.6754515
859671,2.104421,2.0509949,1.6843928
861456,2.017864,2.0193293,1.7279209
865363,1.9280579,1.8799103,1.6176562
867468,2.0448391,1.925326,1.5723593
870861,1.8317673,1.8392794,1.5508794
871762,2.23032,2.0304437,1.7049507
871964,1.9575707,1.826447,1.5450735
872158,1.9510113,1.9410511,1.7087467
872562,1.8207576,1.9987227,1.6523674
873968,1.8570668,1.8869092,1.5446273
877168,2.0380504,2.022193,1.7234745
877269,1.9417424,1.9619613,1.6685385
878776,1.8505089,2.1755567,1.903531
880157,1.940489,1.8439009,1.5313467
882161,1.9702827,2.036705,1.6496009
885975,1.9504377,1.9491742,1.5906471
887373,1.9376671,1.929343,1.6337357
889579,2.2347786,2.1983104,1.7463946
891667,2.11482,2.1088598,1.7263553
894067,2.2060978,2.1176639,1.7634134
894673,2.0307362,2.0129614,1.6826379
894774,2.0625885,2.0281754,1.7255552
896778,2.125651,1.9808457,1.6801338
896879,1.8385522,1.9316151,1.5152982
